df2_inst,df2_state,df2_urls,df1_inst,df1_state,df1_urls,similarity,Matches
American Business and Technology University,MO,https://en.wikipedia.org/wiki/American_Business_and_Technology_University,Missouri University of Science and Technology,MO,https://www.mst.edu/,73,No
Bloomsburg University of Pennsylvania,PA,https://www.commonwealthu.edu/campus-life/bloomsburg,University of Pennsylvania,PA,https://www.upenn.edu/,83,No
California University of Management and Sciences,CA,https://calums.edu/,California University of Science and Medicine,CA,https://www.cusm.edu/,86,No
CEM College-Mayaguez,PR,https://cemcollege.edu/cem/,CEM College-Humacao,PR,https://cemcollege.edu/cem/recinto/humacao/,77,No
Clarion University of Pennsylvania,PA,https://www.clarion.edu/,University of Pennsylvania,PA,https://www.upenn.edu/,87,No
College of Biblical Studies,TX,https://cbshouston.edu/,College of Biblical Studies-Houston,TX,https://cbshouston.edu/,87,No
Columbia Central University,PR,https://columbiacentral.edu/,Columbia Central University-Caguas,PR,https://columbiacentral.edu/,89,No
Columbia Central University-Yauco,PR,https://columbiacentral.edu/,Columbia Central University-Caguas,PR,https://columbiacentral.edu/,81,No
Conservatory of Music of Puerto Rico,PR,https://cmpr.edu/en/,Puerto Rico Conservatory of Music,PR,https://cmpr.edu/en/,96,No
DeVry University-Pennsylvania,PA,https://www.devry.edu/about/campus-locations/pennsylvania.html,University of Pennsylvania,PA,https://www.upenn.edu/,87,No
DeVry University-Tennessee,TN,https://www.devry.edu/about/campus-locations/tennessee.html,Tennessee State University,TN,https://www.tnstate.edu/,85,No
Dewey University-Juana Díaz,PR,https://dewey.edu/department/deweyuniversityjuanadiaz/,Dewey University-Juana Diaz,PR,https://dewey.edu/,83,No
Eastern International College-Belleville,NJ,https://eicollege.edu/,Eastern International College-Jersey City,NJ,https://eicollege.edu/,77,No
Edinboro University of Pennsylvania,PA,https://www.edinboro.edu/,University of Pennsylvania,PA,https://www.upenn.edu/,85,No
Escuela de Artes Plasticas de Puerto Rico,PR,https://www.eap.edu/,Escuela de Artes Plasticas y Diseno de Puerto Rico,PR,https://www.eap.edu/,90,No
FIDM-Fashion Institute of Design & Merchandising-San Francisco,CA,https://fidm.edu/,FIDM-Fashion Institute of Design & Merchandising,CA,https://fidm.edu/,87,No
"Iona University

",NY,https://www.iona.edu/,Iona University,NY,https://www.iona.edu/,100,No
Living Arts College,NC,https://www.living-arts-college.edu/interactive/admissions/index.html,Livingstone College,NC,https://livingstone.edu/,74,No
Mansfield University of Pennsylvania,PA,https://www.commonwealthu.edu/campus-life/mansfield,University of Pennsylvania,PA,https://www.upenn.edu/,84,No
MORRIS BROWN COLLEGE,GA,https://morrisbrown.edu/,Morris Brown College,GA,https://morrisbrown.edu/,100,No
NUC University - Florida Technical College,FL,https://ftccollege.edu/,NUC University - Florida Technical College - Tampa,FL,https://ftccollege.edu/,93,No
Radford University-Carilion,VA,https://www1.radford.edu/content/ruc/home.html,Radford University,VA,https://www.radford.edu/index.html,80,No
St. Joseph's University-Long Island,NY,https://www.sjny.edu/long-island,Long Island University,NY,https://www.liu.edu/,79,No
Universidad Ana G. Mendez–Carolina campus,PR,https://uagm.edu/es/recinto-de-carolina,Universidad Ana G. Mendez-Carolina Campus,PR,https://uagm.edu/es/recinto-de-carolina,100,No
University of Maine at Machias,ME,https://machias.edu/,University of Maine - Machias,ME,https://machias.edu/,95,No
"University of Minnesota-Crookston
",MN,https://crk.umn.edu/,University of Minnesota-Crookston,MN,https://crk.umn.edu/,100,No
University of Puerto Rico-Ponce,PR,https://www.uprp.edu/,University of Puerto Rico at Ponce,PR,https://www.uprp.edu/,95,No
"University of the Virgin Islands, St. Thomas",VI,https://www.uvi.edu/index.html,University of the Virgin Islands,VI,https://www.uvi.edu/index.html,86,No
Washington State University Everett,WA,https://everett.wsu.edu/the-everett-campus/,Washington State University - Everett Campus,WA,https://everett.wsu.edu/the-everett-campus/,91,No
Washington State University Spokane,WA,https://spokane.wsu.edu/,Washington State University-Spokane,WA,https://spokane.wsu.edu/,100,No
Washington State University Tri-Cities,WA,https://tricities.wsu.edu/,Washington State University-Tri Cities,WA,https://tricities.wsu.edu/,100,No
Washington State University Vancouver,WA,https://www.vancouver.wsu.edu/,Washington State University-Vancouver,WA,https://www.vancouver.wsu.edu/,100,No
"Kutztown University of Pennsylvania
",PA,https://www.kutztown.edu/,Kutztown University of Pennsylvania,PA,https://www.kutztown.edu/,100,No
University of Wisconsin - Madison,WI,https://www.wisc.edu/,University of Wisconsin-Madison,WI,https://www.wisc.edu/,100,No
